location,description,created,target,type,to_package,association,images,comments,documents,priority,cause,project,task_group,days_to_target,month,weekday,season,has_parent_task,location_depth,description_length,task_category,overdue_label
1328 - Townsend St,All dig areas consistent have barriers in place.,2019-07-31,,Safety Notice (Green) - Good Observation,Unknown,FormAnswer,True,Unknown,Unknown,Unknown,JPC - Safety - Working At Height,1328,Safety,,7,2,summer,0,1,48,Safety,0
1328 - Townsend St,Plates on loading bay need to be resprayed,2019-07-31,,Safety Notice (Amber) - General Issue,Main Contractor,FormAnswer,True,Unknown,Unknown,Unknown,JPC - Safety - Slips / Trips / Falls,1328,Safety,,7,2,summer,0,1,42,Safety,0
1328 - Townsend St,Compressor hose to be reeled when not in used to avoid trip hazard,2019-07-31,,Safety Notice (Amber) - General Issue,Groundworks,FormAnswer,True,Unknown,Unknown,Unknown,JPC - Safety - Plant & Equipment,1328,Safety,,7,2,summer,0,1,66,Safety,0
JPC Project Management>EHS Forms>01 Inspections,AF3 Inspection Forms to be updated,2019-08-02,,Safety Notice (Amber) - General Issue,Groundworks & Drainage,FormAnswer,False,Unknown,Unknown,Unknown,JPC - Safety - Documentation,1330,Safety,,8,4,summer,0,3,34,Safety,0
JPC Project Management>EHS Management>01 Inspections,Trailing Leads & Hoses are generally kept quite neat. Ensure they are tidy and not obstructing access routes as work moves around different areas of the site.,2019-08-08,,Safety Notice (Green) - Good Observation,Demolition,FormAnswer,False,True,Unknown,Unknown,JPC - Safety - House Keeping,1329,Safety,,8,3,summer,0,3,158,Safety,0
JPC Project Management>EHS Forms>01 Inspections,Precast manhole chambers for drainage to be covered with double 18mm plywood with 2x1 timber complete with metal crowd barriers surrounding them to reduce / eliminate persons falling into chamber until precast concrete biscuits & metal cover is delivered.,2019-08-09,,Safety Notice (Amber) - General Issue,Groundworks & Drainage,FormAnswer,False,Unknown,Unknown,Unknown,JPC - Safety - Management,1330,Safety,,8,4,summer,0,3,255,Safety,0
QC & BC(A)R>ITP 04 M&E Services,Please provide test results to demonstrate earth resistance testing  in line with the standards and regulations.,2019-08-12,2019-08-25,BCAR - Electrical,M&E Engineer,FormAnswer,True,True,True,Medium,Unknown,1328,Design Team,13.0,8,0,summer,0,2,112,Design Team,1
1328 - Townsend St,Poor access way. presents trip and fall hazard.,2019-08-13,,Safety Notice (Amber) - General Issue,Main Contractor,FormAnswer,True,Unknown,Unknown,Unknown,JPC - Safety - Access,1328,Safety,,8,1,summer,0,1,47,Safety,0
1328 - Townsend St,Rebar tops require mushroom caps in working area,2019-08-13,,Safety Notice (Amber) - General Issue,Concrete - Formwork,FormAnswer,True,Unknown,Unknown,Unknown,JPC - Safety - Access,1328,Safety,,8,1,summer,0,1,48,Safety,0
1328 - Townsend St,"Protruding slab rebar requires protective measures, Caps or Barrier. potential to cause serious injury of a fall was to occur.",2019-08-13,,Safety Notice (Amber) - General Issue,Concrete - Formwork,FormAnswer,True,Unknown,Unknown,Unknown,JPC - Safety - Access,1328,Safety,,8,1,summer,0,1,126,Safety,0
1328 - Townsend St,Excusion zone not inplace. Raps to review,2019-08-13,,Safety Notice (Amber) - General Issue,Concrete - Formwork,FormAnswer,True,Unknown,Unknown,Unknown,JPC - Safety - Exclusion Zones,1328,Safety,,8,1,summer,0,1,41,Safety,0
1328 - Townsend St,COSH storage,2019-08-13,,Safety Notice (Amber) - General Issue,Groundworks,FormAnswer,True,True,Unknown,Unknown,JPC - Safety - Plant & Equipment,1328,Safety,,8,1,summer,0,1,12,Safety,0
1328 - Townsend St,Disposal of spray can on going issue. specific bin allocated in site compound for emptied.,2019-08-13,,Safety Notice (Amber) - General Issue,Main Contractor,FormAnswer,True,Unknown,Unknown,Unknown,JPC - Safety - House Keeping,1328,Safety,,8,1,summer,0,1,90,Safety,0
1328 - Townsend St,Good access route inplace- scaffold signed off,2019-08-13,,Safety Notice (Green) - Good Observation,Unknown,FormAnswer,True,Unknown,Unknown,Unknown,JPC - Safety - Access,1328,Safety,,8,1,summer,0,1,46,Safety,0
1328 - Townsend St,Peter damien set up bench in new location behind cabin. large number of electrical cables run along the ground. Cable management to be reviewed,2019-08-13,,Safety Notice (Amber) - General Issue,Carpentry,FormAnswer,True,Unknown,Unknown,Unknown,JPC - Safety - Temporary Electrics,1328,Safety,,8,1,summer,0,1,143,Safety,0
QC & BC(A)R>ITP 01 Structural>Block 3,"For the ground-beam on GL B, there is a pipe fixed to the top mat of reinforcement. This will impair the pouring of the concrete and should be removed.",2019-09-05,2019-09-11,BCAR - Structural,Unknown,FormAnswer,True,True,Unknown,Unknown,Unknown,1328,Design Team,6.0,9,3,autumn,0,3,151,Design Team,0
QC & BC(A)R>ITP 01 Structural>Block 3,"For the second ground-beam (on GL C approx.), there is a sleeve located in the middle of the beam, but too close to the cantilever end of the beam. Sleeve to be relocated.",2019-09-05,2019-09-11,BCAR - Structural,Unknown,FormAnswer,True,True,Unknown,Unknown,Unknown,1328,Design Team,6.0,9,3,autumn,0,3,171,Design Team,0
QC & BC(A)R>ITP 01 Structural>Block 3,"Inspected installation of the below slab drainage at area GL 2-3, E-F. Pipework is generally in accordance with the layout drawings, though there is one section of foul pipe which has been installed with a 90 degree bend. This will need to be removed and replaced with a slow radius bend to avoid the pile cap.",2019-09-05,2019-09-11,BCAR - Structural,Unknown,FormAnswer,True,True,True,Unknown,Unknown,1328,Design Team,6.0,9,3,autumn,0,3,310,Design Team,1
QC & BC(A)R>ITP 01 Structural>Block 3,Voltex membrane is still installed against the inside line of the ESB Substation wall. This suggests that the connection to the floor slab is possibly compromised by the membrane. Contractor to confirm that this is not the case and that the slab is fully connected to the wall.,2019-09-05,2019-09-11,BCAR - Structural,Unknown,FormAnswer,True,True,Unknown,Unknown,Unknown,1328,Design Team,6.0,9,3,autumn,0,3,277,Design Team,0
QC & BC(A)R>ITP 01 Structural>Block 3,Ope in Front Wall of ESB Substation ??? An ope has been formed in the front wall of the switchroom at low level. It is not clear what this ope has been formed for. Contractor to propose remedial detail for infilling the ope.,2019-09-05,2019-09-11,BCAR - Structural,Unknown,FormAnswer,False,True,Unknown,Unknown,Unknown,1328,Design Team,6.0,9,3,autumn,0,3,224,Design Team,0
QC & BC(A)R>ITP 01 Structural>Block 3,Substation 1 - Voltex membrane is still installed against the inside line of the ESB Substation wall. This suggests that the connection to the floor slab is possibly compromised by the membrane. Contractor to confirm that this is not the case and that the slab is fully connected to the wall.,2019-09-05,2019-09-11,BCAR - Structural,Unknown,FormAnswer,False,True,Unknown,Unknown,Unknown,1328,Design Team,6.0,9,3,autumn,0,3,292,Design Team,0
QC & BC(A)R>ITP 01 Structural>Block 3,Substation 2 - An ope has been formed in the front wall of the switchroom at low level. It is not clear what this ope has been formed for. Contractor to propose remedial detail for infilling the ope,2019-09-05,2019-09-11,BCAR - Structural,Unknown,FormAnswer,False,True,Unknown,Unknown,Unknown,1328,Design Team,6.0,9,3,autumn,0,3,198,Design Team,0
QC & BC(A)R>ITP 01 Structural>Block 3,Substation 2 - Wall alignment ??? there appears to be an issue along GL F in terms of alignment between the precast and insitu walls. There is approx 25mm step at the junction on GL 11. Contractor to review and confirm which wall is out of alignment. Possible remedial measures may be required depending on the outcome of this review.,2019-09-05,2019-09-11,BCAR - Structural,Unknown,FormAnswer,False,True,True,Unknown,Unknown,1328,Design Team,6.0,9,3,autumn,0,3,334,Design Team,0
QC & BC(A)R>ITP 01 Structural>Block 3,"Substation roof slab - The cover slab on the top of the substation and switchroom has been formed, but there is an area where there are no starter bars left protruding for continuation of the wall above. Contractor to install remedial bars with sufficient embedment.",2019-09-05,2019-09-11,BCAR - Structural,Unknown,FormAnswer,True,True,Unknown,Unknown,Unknown,1328,Design Team,6.0,9,3,autumn,0,3,266,Design Team,1
QC & BC(A)R>ITP 01 Structural>Block 3,"Substation Wall - A 400mm gap has been left at the end of the wall along GL F, between the insitu and precast areas. This is insufficient to extend the coni-bar from the precast wall down to tie into the insitu wall. Contractor will need to break back the insitu wall to achieve the required lap, maintaining the horizontal rebar in the wall. Also there is a section at the base of the insitu wall which has no rebar left protruding to lap with the Coni-bar. Contractor to post-drill the reinforcement.",2019-09-05,2019-09-11,BCAR - Structural,Unknown,FormAnswer,False,True,Unknown,Unknown,Unknown,1328,Design Team,6.0,9,3,autumn,0,3,502,Design Team,1
QC & BC(A)R>ITP 01 Structural>Block 3,Block 3 Columns - it was noted that the base of some of the columns appears to have been touched up by the Contractor. Contractor to confirm what product has been used. No other columns or structure is to be repaired by the Contractor without prior agreement with BMCE.,2019-09-05,2019-09-11,BCAR - Structural,Unknown,FormAnswer,False,True,True,Unknown,Unknown,1328,Design Team,6.0,9,3,autumn,0,3,269,Design Team,1
JPC Project Management>EHS Forms,General material storage to be improved.  plan of action agreed on site.  Ray Farrell to ensure all item are in the greed segregated zones by Tuesday next Sept 10th.,2019-09-05,,Safety Notice (Amber) - General Issue,Groundworks & Drainage,FormAnswer,False,Unknown,Unknown,Behavioural Failure,JPC - Safety - Management,1330,Safety,,9,3,autumn,0,2,165,Safety,0
JPC Project Management>EHS Forms,Pockets of housekeeping to be addressed on site.,2019-09-05,,Safety Notice (Amber) - General Issue,Concrete,FormAnswer,False,Unknown,Unknown,Behavioural Failure,JPC - Safety - House Keeping,1330,Safety,,9,3,autumn,0,2,48,Safety,0
QC & BC(A)R>ITP 01 Structural>Block 3>1st Floor Plan,Starter bars for the trench on the east side of the beam to be installed prior to pouring. Shuttering on the east side to be completed,2019-09-10,2019-09-16,BCAR - Structural,Unknown,FormAnswer,True,True,Unknown,Unknown,Unknown,1328,Design Team,6.0,9,1,autumn,0,4,134,Design Team,0
QC & BC(A)R>ITP 01 Structural>Block 3>1st Floor Plan,Reinforcement in the perpendicular beam along GL D to be installed and minimum 1/3 of this beam to be poured with the main transfer beam.,2019-09-10,2019-09-16,BCAR - Structural,Unknown,FormAnswer,True,True,Unknown,Unknown,Unknown,1328,Design Team,6.0,9,1,autumn,0,4,137,Design Team,0
QC & BC(A)R>ITP 01 Structural>Block 3>1st Floor Plan,U-bars to connect to the insitu slab between GL C and GL D to be installed before the beam is poured,2019-09-10,2019-09-16,BCAR - Structural,Unknown,FormAnswer,True,True,Unknown,Unknown,Unknown,1328,Design Team,6.0,9,1,autumn,0,4,100,Design Team,0
QC & BC(A)R>ITP 01 Structural>Block 3>1st Floor Plan,Starter bars for the precast walls above the beam to be installed,2019-09-10,2019-09-16,BCAR - Structural,Unknown,FormAnswer,False,True,Unknown,Unknown,Unknown,1328,Design Team,6.0,9,1,autumn,0,4,65,Design Team,0
QC & BC(A)R>ITP 01 Structural>Block 3>1st Floor Plan,Additional rebar around pipe penetration to be installed.,2019-09-10,2019-09-16,BCAR - Structural,Unknown,FormAnswer,True,True,Unknown,Unknown,Unknown,1328,Design Team,6.0,9,1,autumn,0,4,57,Design Team,0
QC & BC(A)R>ITP 01 Structural>Block 3>Ground Floor Plan,"At GL D4, the Voltex membrane is folded in on top of the retaining wall. Membrane to be either cut or pinned back against the shutter",2019-09-10,2019-09-16,BCAR - Structural,Unknown,FormAnswer,False,True,True,Unknown,Unknown,1328,Design Team,6.0,9,1,autumn,0,4,133,Design Team,0
QC & BC(A)R>ITP 01 Structural>Block 3>Ground Floor Plan,Column at GL D-5. Foam packer has been installed to allow for the ground-beam along GL 5. Packer to be extended for the full width of the column,2019-09-10,2019-09-16,BCAR - Structural,Unknown,FormAnswer,False,True,True,Unknown,Unknown,1328,Design Team,6.0,9,1,autumn,0,4,144,Design Team,0
QC & BC(A)R>ITP 01 Structural>Block 3>Ground Floor Plan,"Builders works opes between GL???s 5 and 6. It was noted that JPC have rotated one of the ope from previous drawings. No issue with this. Trimmer bars around the opes to be installed, along with additional reinforcement per detail issued earlier in the week",2019-09-10,2019-09-16,BCAR - Structural,Unknown,FormAnswer,False,True,True,Unknown,Unknown,1328,Design Team,6.0,9,1,autumn,0,4,257,Design Team,0
QC & BC(A)R>ITP 01 Structural>Block 3>Ground Floor Plan,Slab detail at the switchroom. It was noted that JPC are forming the slab for the switchroom differently from the design drawings. Slab is being installed at the top of trench level rather than at the bottom of trench level per the design. JPC to verify that the level of the slab is correct. Also to ensure that the reinforcement is left protruding sufficiently to allow for proper connection of the trench reinforcement.,2019-09-10,2019-09-16,BCAR - Structural,Unknown,FormAnswer,False,True,True,Unknown,Unknown,1328,Design Team,6.0,9,1,autumn,0,4,422,Design Team,0
QC & BC(A)R>ITP 01 Structural>Block 3>Ground Floor Plan,Column at GL F-5 approx. It was noted that there are no starter bars scheduled for this column. Contractor to install 4 H25 for the 350 x 350mm column.,2019-09-10,2019-09-16,BCAR - Structural,Unknown,FormAnswer,False,True,True,Unknown,Unknown,1328,Design Team,6.0,9,1,autumn,0,4,151,Design Team,0
QC & BC(A)R>ITP 01 Structural>Block 3>Ground Floor Plan,"Wall / slab junction along GL F. The packer at the back of the kingpost wall is projecting too high into the bottom of the slab, removing the cover to the bottom reinforcement. Spacers to be installed along the length of GL F to ensure that minimum cover is achieved",2019-09-10,2019-09-16,BCAR - Structural,Unknown,FormAnswer,False,True,Unknown,Unknown,Unknown,1328,Design Team,6.0,9,1,autumn,0,4,266,Design Team,0
QC & BC(A)R>ITP 01 Structural>Block 3>Ground Floor Plan,Coni-bar at lift core. There are two pieces of Coni-bar protruding from the lift core walls. To be removed.,2019-09-10,2019-09-16,BCAR - Structural,Unknown,FormAnswer,False,Unknown,True,Unknown,Unknown,1328,Design Team,6.0,9,1,autumn,0,4,107,Design Team,1
QC & BC(A)R>ITP 02 Architectural & M&E Services>Block 3>Ground Floor Plan,Radon membrane sealed around protruding Rebar,2019-09-12,,Quality - Good Observation,Unknown,Unknown,True,Unknown,Unknown,Unknown,JPC - Quality - Workmanship,1328,Quality,,9,3,autumn,0,4,45,Quality,0
QC & BC(A)R>ITP 01 Structural>Block 3>Ground Floor Plan,All pop ups to be capped while concrete works are on going in area.,2019-09-12,2019-09-18,Quality - Works To Complete,Unknown,Unknown,True,True,Unknown,Unknown,Unknown,1328,Quality,6.0,9,3,autumn,0,4,67,Quality,0
QC & BC(A)R>ITP 01 Structural>Block 3>Ground Floor Plan,"Wall GL B-C
???Cover to the horizontal reinforcement at the north west corner is very tight. Contractor to ensure that cover is achieved.",2019-09-12,2019-09-18,BCAR - Structural,Unknown,FormAnswer,True,True,Unknown,Unknown,Unknown,1328,Design Team,6.0,9,3,autumn,0,4,137,Design Team,0
QC & BC(A)R>ITP 01 Structural>Block 3>Ground Floor Plan,"Wall GL B-C
???Contractor to ensure that box-out is left for the transfer beam at the east end of the wall.",2019-09-12,2019-09-18,BCAR - Structural,Unknown,FormAnswer,False,True,Unknown,Unknown,Unknown,1328,Design Team,6.0,9,3,autumn,0,4,107,Design Team,0
QC & BC(A)R>ITP 01 Structural>Block 3>Ground Floor Plan,"Wall GL C-D
Lack of cover to the horizontal reinforcement at the north west corner to be addressed.",2019-09-12,2019-09-18,BCAR - Structural,Unknown,FormAnswer,True,True,Unknown,Unknown,Unknown,1328,Design Team,6.0,9,3,autumn,0,4,99,Design Team,0
QC & BC(A)R>ITP 01 Structural>Block 3>Ground Floor Plan,"Wall GL 6, B-C
Reinforcement generally ok. Ope has been formed for services at the base of the wall, at the southern end. The horizontal bars above the ope are not tied in to the perpendicular wall. Bars to be dowelled into the side of the adjacent concrete using Hilti HIT-HY-200, min 200mm. Also, 2H16 trimmer bars to be added around the ope, also to be dowelled into the concrete on the southern side.",2019-09-12,2019-09-18,BCAR - Structural,Unknown,FormAnswer,False,True,Unknown,Unknown,Unknown,1328,Design Team,6.0,9,3,autumn,0,4,404,Design Team,1
QC & BC(A)R>ITP 01 Structural>Block 3>Ground Floor Plan,"Wall GL 6, B-C
2H16 trimmers to be provided to sides, top & diagonal of all service opes in the wall.",2019-09-12,2019-09-18,BCAR - Structural,Unknown,FormAnswer,True,True,Unknown,Unknown,Unknown,1328,Design Team,6.0,9,3,autumn,0,4,101,Design Team,0
QC & BC(A)R>ITP 01 Structural>Block 4>Ground Floor Plan,Contractor to provide certification for the stone in block 4.,2019-09-12,2019-09-18,BCAR - Structural,Unknown,FormAnswer,False,True,Unknown,Unknown,Unknown,1328,Design Team,6.0,9,3,autumn,0,4,61,Design Team,0
1328 - Townsend St,"Access steps over wall of block 04 basement left open to drop over wall. 
operatives immediately stopped me when I was spotted reviewing the area and a barrier was installed at time of inspection. operatives were in the process of installing ladders and left the are momentarily.",2019-09-14,,Safety Notice (Amber) - General Issue,Concrete - Formwork,FormAnswer,True,Unknown,Unknown,Unknown,JPC - Safety - Exclusion Zones,1328,Safety,,9,5,autumn,0,1,279,Safety,0
1328 - Townsend St,Pedestrian walkway to be install along pit lane.,2019-09-14,,Safety Notice (Amber) - General Issue,Main Contractor,FormAnswer,True,Unknown,Unknown,Unknown,JPC - Safety - Plant & People Interface,1328,Safety,,9,5,autumn,0,1,48,Safety,0
1328 - Townsend St,"Area Congested with materials, no clear walk way. trip or fall in this area has potential to lead to serious injure with rebar.",2019-09-14,,Safety Notice (Amber) - General Issue,Concrete - Formwork,FormAnswer,True,Unknown,Unknown,Unknown,JPC - Safety - Access,1328,Safety,,9,5,autumn,0,1,127,Safety,0
1328 - Townsend St,Number of operatives noted not wearing their glasses. Supervisors across the project should address this with operatives. to ensure standards do not slip. operative were reminded to wear glasses at time of inspection.,2019-09-14,,Safety Notice (Amber) - General Issue,Main Contractor,FormAnswer,False,Unknown,Unknown,Unknown,JPC - Safety - PPE,1328,Safety,,9,5,autumn,0,1,217,Safety,0
1328 - Townsend St,Access route underfoot conditions are deteriorating daily. JPC to review.,2019-09-14,,Safety Notice (Amber) - General Issue,Main Contractor,FormAnswer,True,Unknown,Unknown,Unknown,JPC - Safety - Access,1328,Safety,,9,5,autumn,0,1,73,Safety,0
1328 - Townsend St,"Housekeeping noted at poor in block 04, Block four was tidied within hours. Good work from RAPS",2019-09-14,,Safety Notice (Green) - Good Observation,Concrete - Formwork,FormAnswer,True,Unknown,Unknown,Unknown,JPC - Safety - House Keeping,1328,Safety,,9,5,autumn,0,1,95,Safety,0
1328 - Townsend St,"Area outside ESB substation poor, poor access to to core 02 and raps spacer, poor underfoot condition, housekeeping and sling not returned to sling station.",2019-09-14,,Safety Notice (Amber) - General Issue,Main Contractor,FormAnswer,True,Unknown,Unknown,Unknown,JPC - Safety - House Keeping,1328,Safety,,9,5,autumn,0,1,156,Safety,0
1328 - Townsend St,access to raps storage very poor,2019-09-14,,Safety Notice (Amber) - General Issue,Main Contractor,FormAnswer,True,Unknown,Unknown,Unknown,JPC - Safety - Access,1328,Safety,,9,5,autumn,0,1,32,Safety,0
1328 - Townsend St,Trailing leads. Leads to be pinned at high level to avoid tripping hazard,2019-09-14,,Safety Notice (Amber) - General Issue,Main Contractor,FormAnswer,True,Unknown,Unknown,Unknown,JPC - Safety - Lead Management,1328,Safety,,9,5,autumn,0,1,73,Safety,0
QC & BC(A)R>ITP 01 Structural>Block 4>Ground Floor Plan,There is an issue with the levels of the reinforcement in the area at GL A 11-12. Contractor to verify the correct level of the reinforcement. Area to be blown out also.,2019-09-17,2019-09-23,BCAR - Structural,Unknown,FormAnswer,True,True,Unknown,Unknown,Unknown,1328,Design Team,6.0,9,1,autumn,0,4,169,Design Team,0
QC & BC(A)R>ITP 01 Structural>Block 4>Ground Floor Plan,"At pile cap at GL A 11 approx, the cori-board around the pilecap is impacting on the cover to the bottom reinforcement. Board to be trimmed down to achieve correct cover.",2019-09-17,2019-09-23,BCAR - Structural,Unknown,FormAnswer,True,True,Unknown,Unknown,Unknown,1328,Design Team,6.0,9,1,autumn,0,4,170,Design Team,0
QC & BC(A)R>ITP 01 Structural>Block 4>Ground Floor Plan,"Along the edge of the staircore base along GL 11, the cori-board at the side of the base is impacting on the cover to the slab reinforcement. Board to be trimmed down to achieve the correct cover",2019-09-17,2019-09-23,BCAR - Structural,Unknown,FormAnswer,False,True,Unknown,Unknown,Unknown,1328,Design Team,6.0,9,1,autumn,0,4,195,Design Team,1
